Drug_ID	Drug	Y
"4-methoxy-N,N-dimethyl-benzamide"	"COc1ccc(C(=O)N(C)C)cc1"	-11.01
"methanesulfonyl chloride"	"CS(=O)(=O)Cl"	-4.87
"3-methylbut-1-ene"	"C=CC(C)C"	1.83
"2-ethylpyrazine"	"CCc1cnccn1"	-5.45
"heptan-1-ol"	"CCCCCCCO"	-4.21
"3,5-dimethylphenol"	"Cc1cc(C)cc(O)c1"	-6.27
"2,3-dimethylbutane"	"CC(C)C(C)C"	2.34
"2-methylpentan-2-ol"	"CCCC(C)(C)O"	-3.92
"1,2-dimethylcyclohexane"	"C[C@H]1CCCC[C@H]1C"	1.58
"butan-2-ol"	"CC[C@H](C)O"	-4.62
"dibromomethane"	"BrCBr"	-1.96
"2-methylpentan-3-ol"	"CC[C@@H](O)C(C)C"	-3.88
"2-ethylpyridine"	"CCc1ccccn1"	-4.33
"ethyl pentanoate"	"CCCCC(=O)OCC"	-2.49
"benzenethiol"	"Sc1ccccc1"	-2.55
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol"	"CC(C)=CCC/C(C)=C\CO"	-4.78
"indane"	"c1ccc2c(c1)CCC2"	-1.46
"ethoxybenzene"	"CCOc1ccccc1"	-2.22
"4-bromophenol"	"Oc1ccc(Br)cc1"	-5.85
"2,2-dimethylpentane"	"CCCC(C)(C)C"	2.88
"2-acetoxyethyl acetate"	"CC(=O)OCCOC(C)=O"	-6.34
"ethion"	"CCOP(=S)(OCC)SCSP(=S)(OCC)OCC"	-6.1
"cycloheptanol"	"OC1CCCCCC1"	-5.48
"methyl cyclopropanecarboxylate"	"COC(=O)C1CC1"	-4.1
"benzonitrile"	"N#Cc1ccccc1"	-4.1
"pentanenitrile"	"CCCCC#N"	-3.52
"2-methylpropan-2-ol"	"CC(C)(C)O"	-4.47
"2,4-dimethylpentan-3-one"	"CC(C)C(=O)C(C)C"	-2.74
"propanal"	"CCC=O"	-3.43
"N,N-dimethylformamide"	"CN(C)C=O"	-7.81
"p-xylene"	"Cc1ccc(C)cc1"	-0.8
"penta-1,4-diene"	"C=CCC=C"	0.93
"2-(2,3-dimethylphenyl)aminobenzoic acid"	"Cc1cccc(Nc2ccccc2C(=O)O)c1C"	-6.78
"N,N-dimethylbenzamide"	"CN(C)C(=O)c1ccccc1"	-9.29
"N-ethylethanamine"	"CCNCC"	-4.07
"4-tert-butylphenol"	"CC(C)(C)c1ccc(O)cc1"	-5.91
"isopentyl formate"	"CC(C)CCOC=O"	-2.13
"decan-1-ol"	"CCCCCCCCCCO"	-3.64
"ethyl propanoate"	"CCOC(=O)CC"	-2.68
"nonane"	"CCCCCCCCC"	3.13
"N-methylacetamide"	"CNC(C)=O"	-10.0
"non-1-ene"	"C=CCCCCCCC"	2.06
"naphthalen-2-ol"	"Oc1ccc2ccccc2c1"	-8.11
"1,2,4-trichlorobenzene"	"Clc1ccc(Cl)c(Cl)c1"	-1.12
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol"	"OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO"	-23.62
"methyl butanoate"	"CCCC(=O)OC"	-2.83
"2-hydroxybenzaldehyde"	"O=Cc1ccccc1O"	-4.68
"azetidine"	"C1CNC1"	-5.56
"N-propylpropan-1-amine"	"CCCNCCC"	-3.65
"aniline"	"Nc1ccccc1"	-5.49
"tetrafluoromethane"	"FC(F)(F)F"	3.12
"2-methylbutan-1-ol"	"CC[C@@H](C)CO"	-4.42
"2-iodophenol"	"Oc1ccccc1I"	-6.2
"2,6-dimethoxyphenol"	"COc1cccc(OC)c1O"	-6.96
"but-1-yne"	"C#CCC"	-0.16
"trifluoromethylbenzene"	"FC(F)(F)c1ccccc1"	-0.25
"hydrazine"	"NN"	-9.3
"2-methylpyridine"	"Cc1ccccn1"	-4.63
"simazine"	"CCNc1nc(Cl)nc(NCC)n1"	-10.22
"2,3-dichlorodibenzo-p-dioxin"	"Clc1cc2c(cc1Cl)Oc1ccccc1O2"	-3.56
"octan-1-amine"	"CCCCCCCCN"	-3.65
"ammonia"	"N"	-4.29
"1,2-bis(trifluoromethyl)benzene"	"FC(F)(F)c1ccccc1C(F)(F)F"	1.07
"methyl paraben"	"COC(=O)c1ccc(O)cc1"	-9.51
"pentylbenzene"	"CCCCCc1ccccc1"	-0.23
"1,1-difluoroethane"	"CC(F)F"	-0.11
"5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one"	"Nc1cnn(-c2ccccc2)c(=O)c1Cl"	-16.43
"butadiene"	"C=CC=C"	0.56
"N,N-dimethylmethanamine"	"CN(C)C"	-3.2
"hexanamide"	"CCCCCC(N)=O"	-9.31
"isobutyl nitrate"	"CC(C)CO[N+](=O)[O-]"	-1.88
"1-(2-hydroxyethylamino)-9,10-anthraquinone"	"O=C1c2ccccc2C(=O)c2c(NCCO)cccc21"	-14.21
"2-(nitrooxy)ethan-1-ol"	"O=[N+]([O-])OCCO"	-8.18
"octan-2-one"	"CCCCCCC(C)=O"	-2.88
"1-methylpiperazine"	"CN1CCNCC1"	-7.77
"ethanamine"	"CCN"	-4.5
"cyclohepta-1,3,5-triene"	"C1=CC=CCC=C1"	-0.99
"9,10-dihydroanthracene"	"c1ccc2c(c1)Cc1ccccc1C2"	-3.78
"1,1-dichloroethane"	"CC(Cl)Cl"	-0.84
"3-methoxyphenol"	"COc1cccc(O)c1"	-7.66
"acenaphthene"	"c1cc2c3c(cccc3c1)CC2"	-3.15
"1-bromooctane"	"CCCCCCCCBr"	0.52
"phenylmethanol"	"OCc1ccccc1"	-6.62
"5-bromouracil"	"O=c1[nH]cc(Br)c(=O)[nH]1"	-18.17
"n-butane"	"CCCC"	2.1
"chloromethane"	"CCl"	-0.55
"1-bromo-2-methyl-propane"	"CC(C)CBr"	-0.03
"2-isopropylsulfanylpropane"	"CC(C)SC(C)C"	-1.21
"heptane"	"CCCCCCC"	2.67
"imidazole"	"c1c[nH]cn1"	-9.63
"1,2,3,7-tetrachlorodibenzo-p-dioxin"	"Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2"	-3.84
"bromacil"	"CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O"	-9.73
"diiodomethane"	"ICI"	-2.49
"N,N-dipropyl(propylsulfanyl)formamide"	"CCCSC(=O)N(CCC)CCC"	-4.13
"nitromethane"	"C[N+](=O)[O-]"	-4.02
"methoxyethane"	"CCOC"	-2.1
"2-chloro-1,1,1-trimethoxy-ethane"	"COC(CCl)(OC)OC"	-4.59
"isobutane"	"CC(C)C"	2.3
"3-methylbutanoic acid"	"CC(C)CC(=O)O"	-6.09
"2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate"	"CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl"	-7.07
"1-chloropropane"	"CCCCl"	-0.33
"1-propylsulfanylpropane"	"CCCSCCC"	-1.28
"hexan-3-ol"	"CCC[C@@H](O)CC"	-4.06
"acetonitrile"	"CC#N"	-3.88
"N-methyl-N-(2,2,2-trifluoroethyl)aniline"	"CN(CC(F)(F)F)c1ccccc1"	-1.92
