     composition , E_hull         , mu_mu_B , PBE_fund_SOC , PBE_direct_SOC              , HSE_fund , HSE_direct               , m_star , m_e_star  , m_h_star   ,   E_f         
 H_3SInCl_3-1D-W,      0.000,        0.0,       2.54(-0.00),            2.64  (-0.00),           ,                ,            7.11,            7.14,         >1000,     -0.565
GCdBr_3-1D-W\bullet,      0.000,        0.0,       3.44(-0.14),            3.44  (-0.14),           ,                ,            0.64,            0.67,           13.88,     -0.507
       GCdI_3-1D-W,      0.000,        0.0,       2.35(-0.25),            2.35  (-0.25),           ,                ,            3.43,            4.07,           21.76,     -0.393
NH_4GeCl_3-3D-OR,      0.000,        0.0,       2.88(-0.04),            2.88  (-0.04),           ,                ,            0.50,            1.38,            0.79,     -0.693
      GCdCl_3-1D-W,      0.000,        0.0,       4.13(-0.00),            4.13  (-0.00),           ,                ,            0.78,            0.81,           28.03,     -0.583
  NH_4GeF_3-1D-W,      0.000,        0.0,       4.05(-0.00),            4.06  (-0.00),           ,                ,           43.22,           59.31,          159.26,     -1.334
 NH_4CaCl_3-1D-R,      0.000,        0.0,       5.12(-0.01),            5.12  (-0.01),           ,                ,            0.42,            0.44,           11.27,     -1.211
H_3SAuBr_3-3D-OR,      0.000,        0.0,       0.00( 0.00),            0.00  ( 0.00),       0.00,            0.00,                ,                ,                ,     -0.211
      GCaCl_3-1D-W,      0.000,        0.0,       5.06(-0.00),            5.06  (-0.00),           ,                ,            0.99,            1.01,           88.94,     -0.858
 H_3SPbBr_3-1D-R,      0.000,        0.0,       2.51(-0.49),            2.59  (-0.50),           ,                ,            8.45,           11.27,           33.82,     -0.499
      MPCaI_3-1D-W,      0.000,        0.0,       3.33(-0.20),            3.33  (-0.20),           ,                ,            1.27,            1.32,           31.50,     -0.534
 NH_4CoCl_3-1D-W,      0.000,       12.0,       0.00(-0.01),            0.00  (-0.01),       3.60,            3.61,           55.42,         >1000,           55.42,     -0.590
      GPbBr_3-1D-W,      0.000,        0.0,       3.13(-0.60),            3.18  (-0.60),           ,                ,            2.59,            2.82,           31.94,     -0.515
 NH_4MnCl_3-1D-R,      0.000,       20.0,       1.99(-0.00),            2.03  (-0.00),           ,                ,          113.91,          148.99,          483.71,     -0.760
      GSrBr_3-1D-W,      0.000,        0.0,       4.54(-0.13),            4.54  (-0.12),           ,                ,            0.60,            0.62,           25.57,     -0.761
     MPBeCl_3-1D-W,      0.000,        0.0,       5.05(-0.01),            5.07  (-0.01),           ,                ,            8.97,            9.29,          259.89,     -0.561
       GSrI_3-1D-W,      0.000,        0.0,       3.80(-0.29),            3.81  (-0.29),           ,                ,            3.40,            7.22,            6.44,     -0.636
 H_3SSnBr_3-1D-R,      0.000,        0.0,       2.35(-0.08),            2.54  (-0.08),           ,                ,            7.30,           14.51,           14.70,     -0.439
       GCaI_3-1D-W,      0.000,        0.0,       3.65(-0.27),            3.65  (-0.27),           ,                ,           27.29,          160.62,           32.88,     -0.624
 NH_4PbBr_3-1D-R,      0.000,        0.0,       2.39(-0.46),            2.47  (-0.47),           ,                ,            2.09,            3.76,            4.70,     -0.686
      GSnBr_3-1D-W,      0.000,        0.0,       3.23(-0.07),            3.26  (-0.07),           ,                ,            2.54,            3.07,           14.90,     -0.484
     MPInCl_3-1D-W,      0.000,        0.0,       2.33(-0.00),            2.53  (-0.00),           ,                ,            1.58,            1.58,         >1000,     -0.448
       GPbI_3-1D-W,      0.000,        0.0,       2.59(-0.68),            2.66  (-0.66),           ,                ,            0.78,            0.94,            4.70,     -0.416
    MPSnBr_3-3D-OR,      0.000,        0.0,       1.63(-0.19),            1.63  (-0.19),       2.19,            2.19,            0.22,            0.58,            0.35,     -0.373
 NH_4HgCl_3-1D-R,      0.000,        0.0,       2.35(-0.02),            2.50  (-0.01),           ,                ,            0.55,            0.56,           31.36,     -0.605
           MPSrI_3,      0.000,        0.0,       3.41(-0.18),            3.51  (-0.28),           ,                ,            0.42,            0.46,            5.15,     -0.549
